family,model,n,n_clusters,tep_mean,ci_low,ci_high,tep_median,bootstrap,n_boot,seed,source,level,model_full,problem_id,tep,cci,inject_at_step,cluster_id
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_042,1.0,0.25,2,GSM_042
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_043,1.0,0.0,1,GSM_043
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_044,1.0,0.0,1,GSM_044
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_045,1.0,0.75,2,GSM_045
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_046,1.0,0.1667,3,GSM_046
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_047,1.0,0.0,1,GSM_047
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_048,1.0,0.0,1,GSM_048
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_049,1.0,0.0,1,GSM_049
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_050,1.0,0.0,3,GSM_050
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_051,1.0,0.0,1,GSM_051
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_052,1.0,0.0,1,GSM_052
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_053,0.0,0.0,1,GSM_053
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_054,0.0,0.0,1,GSM_054
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_055,1.0,0.2857,3,GSM_055
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_056,0.6667,0.0,2,GSM_056
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_057,1.0,0.0,1,GSM_057
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_058,0.0,1.0,1,GSM_058
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_059,0.5,0.6667,1,GSM_059
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_060,0.0,0.0018,271,GSM_060
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_061,1.0,0.0,1,GSM_061
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_062,1.0,0.0,1,GSM_062
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_063,1.0,0.5,1,GSM_063
GSM,Llama,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,meta-llama/llama-3.1-8b-instruct,GSM_064,1.0,0.0,1,GSM_064
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_001,0.5,0.25,2,GSM_001
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_002,0.0,0.5,1,GSM_002
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_003,0.3333,0.4,2,GSM_003
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_004,0.5,0.3333,1,GSM_004
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_005,0.0,0.0,1,GSM_005
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_006,1.0,0.0,2,GSM_006
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_007,0.3333,0.2,2,GSM_007
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_008,1.0,0.125,4,GSM_008
GSM,Gemini,,,,,,,,,,results/raw/GSM_P2_cci.csv,instance,google/gemini-2.5-flash,GSM_009,0.3333,0.2,2,GSM_009
