family,model,variant_a,variant_b,n_overlap,p_b,p_b_given_a,p_a_given_b,lift_b_given_a,agreement_rate,phi_corr
BW,GPT-4o,W5,W1,65,0.09230769230769231,0.1875,0.5,0.09519230769230769,0.7538461538461538,0.18792109407793095
BW,GPT-4o,W5,W2,65,0.09230769230769231,0.125,0.3333333333333333,0.03269230769230769,0.7230769230769231,0.06453855756211781
BW,GPT-4o,W5,W3,65,0.16923076923076924,0.1875,0.2727272727272727,0.01826923076923076,0.676923076923077,0.027842122959610888
BW,GPT-4o,W5,W4,65,0.07692307692307693,0.25,0.8,0.17307692307692307,0.8,0.37115374447904514
BW,GPT-4o,W5,W5,65,0.24615384615384617,1.0,1.0,0.7538461538461538,1.0,
BW,GPT-4o,W5,W6,65,0.2153846153846154,0.25,0.2857142857142857,0.0346153846153846,0.6615384615384615,0.04811664783632918
BW,GPT-4o,W6,canonical,65,0.06153846153846154,0.07142857142857142,0.25,0.009890109890109883,0.7538461538461538,0.021562469116277308
BW,GPT-4o,W6,W1,65,0.09230769230769231,0.2857142857142857,0.6666666666666666,0.19340659340659339,0.8153846153846154,0.3500756718091913
BW,GPT-4o,W6,W2,65,0.09230769230769231,0.21428571428571427,0.5,0.12197802197802196,0.7846153846153846,0.22078636119784262
BW,GPT-4o,W6,W3,65,0.16923076923076924,0.07142857142857142,0.09090909090909091,-0.09780219780219782,0.6461538461538462,-0.13666197044785436
BW,GPT-4o,W6,W4,65,0.07692307692307693,0.07142857142857142,0.2,-0.005494505494505503,0.7384615384615385,-0.010803395392536037
BW,GPT-4o,W6,W5,65,0.24615384615384617,0.2857142857142857,0.25,0.03956043956043953,0.6615384615384615,0.048116647836329185
BW,GPT-4o,W6,W6,65,0.2153846153846154,1.0,1.0,0.7846153846153846,1.0,
BW,o4-mini,canonical,canonical,65,0.7692307692307693,1.0,1.0,0.23076923076923073,1.0,
BW,o4-mini,canonical,W1,65,0.7538461538461538,0.98,1.0,0.22615384615384615,0.9846153846153847,0.9585144756340405
BW,o4-mini,canonical,W2,65,0.7384615384615385,0.96,1.0,0.22153846153846146,0.9692307692307692,0.9203579866168441
BW,o4-mini,canonical,W3,65,0.18461538461538463,0.14,0.5833333333333334,-0.04461538461538461,0.26153846153846155,-0.20994658400215035
BW,o4-mini,canonical,W4,65,0.4153846153846154,0.48,0.8888888888888888,0.06461538461538457,0.5538461538461539,0.23939494881986934
BW,o4-mini,canonical,W5,65,0.7692307692307693,1.0,1.0,0.23076923076923073,1.0,1.0
BW,o4-mini,canonical,W6,65,0.7692307692307693,1.0,1.0,0.23076923076923073,1.0,1.0
BW,o4-mini,W1,canonical,65,0.7692307692307693,1.0,0.98,0.23076923076923073,0.9846153846153847,0.9585144756340405
BW,o4-mini,W1,W1,65,0.7538461538461538,1.0,1.0,0.24615384615384617,1.0,
BW,o4-mini,W1,W2,65,0.7384615384615385,0.9795918367346939,1.0,0.24113029827315535,0.9846153846153847,0.9601920576192068
BW,o4-mini,W1,W3,65,0.18461538461538463,0.12244897959183673,0.5,-0.062166405023547894,0.24615384615384617,-0.28040038209320123
BW,o4-mini,W1,W4,65,0.4153846153846154,0.4897959183673469,0.8888888888888888,0.07441130298273152,0.5692307692307692,0.26425099683912096
BW,o4-mini,W1,W5,65,0.7692307692307693,1.0,0.98,0.23076923076923073,0.9846153846153847,0.9585144756340405
BW,o4-mini,W1,W6,65,0.7692307692307693,1.0,0.98,0.23076923076923073,0.9846153846153847,0.9585144756340405
BW,o4-mini,W2,canonical,65,0.7692307692307693,1.0,0.96,0.23076923076923073,0.9692307692307692,0.920357986616844
BW,o4-mini,W2,W1,65,0.7538461538461538,1.0,0.9795918367346939,0.24615384615384617,0.9846153846153847,0.9601920576192068
BW,o4-mini,W2,W2,65,0.7384615384615385,1.0,1.0,0.2615384615384615,1.0,
BW,o4-mini,W2,W3,65,0.18461538461538463,0.125,0.5,-0.059615384615384626,0.26153846153846155,-0.25818993430294823
BW,o4-mini,W2,W4,65,0.4153846153846154,0.5,0.8888888888888888,0.08461538461538459,0.5846153846153846,0.28852614096703216
BW,o4-mini,W2,W5,65,0.7692307692307693,1.0,0.96,0.23076923076923073,0.9692307692307692,0.920357986616844
BW,o4-mini,W2,W6,65,0.7692307692307693,1.0,0.96,0.23076923076923073,0.9692307692307692,0.920357986616844
BW,o4-mini,W3,canonical,65,0.7692307692307693,0.5833333333333334,0.14,-0.1858974358974359,0.26153846153846155,-0.20994658400215035
BW,o4-mini,W3,W1,65,0.7538461538461538,0.5,0.12244897959183673,-0.25384615384615383,0.24615384615384617,-0.28040038209320123
BW,o4-mini,W3,W2,65,0.7384615384615385,0.5,0.125,-0.2384615384615385,0.26153846153846155,-0.25818993430294823
BW,o4-mini,W3,W3,65,0.18461538461538463,1.0,1.0,0.8153846153846154,1.0,
BW,o4-mini,W3,W4,65,0.4153846153846154,0.5833333333333334,0.25925925925925924,0.16794871794871796,0.6153846153846154,0.1621694550961884
BW,o4-mini,W3,W5,65,0.7692307692307693,0.5833333333333334,0.14,-0.1858974358974359,0.26153846153846155,-0.20994658400215035
BW,o4-mini,W3,W6,65,0.7692307692307693,0.5833333333333334,0.14,-0.1858974358974359,0.26153846153846155,-0.20994658400215035
BW,o4-mini,W4,canonical,65,0.7692307692307693,0.8888888888888888,0.48,0.11965811965811957,0.5538461538461539,0.23939494881986934
BW,o4-mini,W4,W1,65,0.7538461538461538,0.8888888888888888,0.4897959183673469,0.135042735042735,0.5692307692307692,0.2642509968391209
BW,o4-mini,W4,W2,65,0.7384615384615385,0.8888888888888888,0.5,0.15042735042735034,0.5846153846153846,0.28852614096703216
BW,o4-mini,W4,W3,65,0.18461538461538463,0.25925925925925924,0.5833333333333334,0.07464387464387462,0.6153846153846154,0.16216945509618844
BW,o4-mini,W4,W4,65,0.4153846153846154,1.0,1.0,0.5846153846153845,1.0,
BW,o4-mini,W4,W5,65,0.7692307692307693,0.8888888888888888,0.48,0.11965811965811957,0.5538461538461539,0.23939494881986934
BW,o4-mini,W4,W6,65,0.7692307692307693,0.8888888888888888,0.48,0.11965811965811957,0.5538461538461539,0.23939494881986934
BW,o4-mini,W5,canonical,65,0.7692307692307693,1.0,1.0,0.23076923076923073,1.0,1.0
BW,o4-mini,W5,W1,65,0.7538461538461538,0.98,1.0,0.22615384615384615,0.9846153846153847,0.9585144756340405
BW,o4-mini,W5,W2,65,0.7384615384615385,0.96,1.0,0.22153846153846146,0.9692307692307692,0.9203579866168441
